省/自治区/直辖市/特别行政区	市	区/县	微博名称	认证机构	链接地址	微博等级	粉丝数	微博数
新疆维吾尔自治区			新疆发布	新疆维吾尔自治区人民政府新闻办公室官方微博	http://weibo.com/xjfb	26	3661289	14943
新疆维吾尔自治区	乌鲁木齐市		乌鲁木齐发布	乌鲁木齐市互联网信息管理中心官方微博	http://weibo.com/wlmqfb	25	302237	12055
新疆维吾尔自治区	乌鲁木齐市	哈密地区	哈密政府网	新疆哈密政府网官方微博	http://weibo.com/hamigov	18	51857	6621
新疆维吾尔自治区	乌鲁木齐市	阿克苏地区	阿克苏政府网	新疆阿克苏地区政府网站官方微博	http://weibo.com/u/2611986933	14	44383	3116
新疆维吾尔自治区	乌鲁木齐市	喀什地区	喀什发布	新疆喀什地委对外宣传办公室官方微博	http://weibo.com/u/2629250671	19	93347	4195
新疆维吾尔自治区	乌鲁木齐市	和田地区	和田政务	新疆和田地区行政公署电子政务办公室官方微博	http://weibo.com/u/2899827362	13	17517	1308
新疆维吾尔自治区	乌鲁木齐市	塔城地区	塔城市政府网	新疆塔城市政府门户网站官方微博	http://weibo.com/xjtcsh	23	21000	3961
新疆维吾尔自治区	乌鲁木齐市	阿勒泰地区	阿勒泰地区政府网	新疆阿勒泰地区政府门户网站官方微博	http://weibo.com/altdqzfw	16	20390	1727
新疆维吾尔自治区	克拉玛依市		克拉玛依发布	新疆克拉玛依市人民政府新闻办官方微博	http://weibo.com/u/2629250601	21	209838	5196
新疆维吾尔自治区	克拉玛依市	博尔塔拉蒙古自治州	博州发布	新疆博尔塔拉蒙古自治州人民政府新闻办官方微博	http://weibo.com/u/2629250611	26	58385	10718
新疆维吾尔自治区	克拉玛依市	昌吉回族自治州	昌吉州政府网	昌吉州政府门户网站官方微博	http://weibo.com/u/3413296682	16	21986	1140
新疆维吾尔自治区	克拉玛依市	克孜勒苏柯尔克孜自治州	克州政府网	新疆克孜勒苏柯尔克孜自治州人民政府网官方微博	http://weibo.com/kezhougov	18	16863	3494
新疆维吾尔自治区	克拉玛依市	伊犁哈萨克自治州	伊犁政府网 	新疆伊犁哈萨克自治州政府门户网站官方微博	http://weibo.com/u/2998711094	21	56789	3880
新疆维吾尔自治区	克拉玛依市	巴音郭楞蒙古自治州	微政巴州	新疆巴音郭楞蒙古自治州人民政府门户网站官方微博	http://weibo.com/xjbzgov	21	71908	6591
新疆维吾尔自治区	吐鲁番市		吐鲁番地区政府网	新疆吐鲁番地区政府门户网站官方微博	http://weibo.com/tlfzfw	17	21440	2912
青海省			青海发布	青海省人民政府新闻办公室官方微博	http://weibo.com/qinghaifabu	17	785921	4455
青海省	西宁市		夏都西宁	中共西宁市委外宣办官方微博	http://weibo.com/u/3881282682	23	33923	5562
青海省	西宁市	城中区	中区宣传	西宁市城中区委宣传部官方微博	http://weibo.com/u/3495495814	7	101	64
青海省	西宁市	城东区	青海西宁市城东法院	青海省西宁市城东区人民法院官方微博	http://weibo.com/u/3928792210	11	3245	4247
青海省	西宁市	城西区	魅力西区	中共城西区委宣传部官方微博	http://weibo.com/u/5400034469	14	386	171
青海省	西宁市	城北区	西宁城北	青海省西宁市城北区人民政府官方微博	http://weibo.com/u/2695578950	12	8023	426
青海省	西宁市	大通回族自治县	大通宣传	青海大通回族土族自治县委宣传部官方微博	http://weibo.com/u/5112877294	17	844	607
青海省	西宁市	湟中县	秀美新湟中	青海省西宁市湟中县人民政府官方微博	http://weibo.com/u/5547368900	8	2109	5
青海省	西宁市	湟源县	微湟源	中共湟源县委宣传部官方微博	http://weibo.com/u/5390780204	1	34	5
青海省	海东市		青海海东共青团	共青团青海省海东市委员会官方微博	http://weibo.com/hdtdw	19	38239	1521
青海省	海东市	乐都区	共青团海东市乐都区委	共青团乐都县委员会官方微博	http://weibo.com/gqtldxw	17	14506	2604
青海省	海东市	平安区	海东平安交警	青海省海东市平安县交通警察大队官方微博	http://weibo.com/u/2881629282	154	497
青海省	海东市	民和回族土族自治县	青海民和检察	青海省民和回族土族自治县人民检察院官方微博	http://weibo.com/u/3544541734	11	633	559
青海省	海东市	互助土族自治县	互助县检察院	青海省互助县人民检察院官方微博	http://weibo.com/u/5140403163	10	138	435
青海省	海东市	化隆回族自治县	青海省化隆县法院	青海省海东化隆回族自治县人民法院官方微博	http://weibo.com/u/3947990700	12	372	3517
青海省	海东市	循化撒拉族自治县	循化县法院	青海省海东循化撒拉族自治县人民法院官方微博	http://weibo.com/u/3953735017	4	107	193
青海省	海北藏族自治州		青海海北共青团	共青团海北藏族自治州委员会官方微博	http://weibo.com/u/2498327250	19	24879	1901
青海省	海北藏族自治州	海晏县	海晏法院	青海省海北藏族自治州海晏县人民法院官方微博	http://weibo.com/u/3910811070	6	313	753
青海省	海北藏族自治州	祁连县	祁连法院	青海省海北州祁连县人民法院官方微博	http://weibo.com/u/3957331635	11	113	4580
青海省	海北藏族自治州	刚察县	刚察县法院	青海省海北藏族自治州刚察县人民法院官方微博	http://weibo.com/u/3934863194	11	408	1419
青海省	海北藏族自治州	门源回族自治县	门源检察	青海省海北藏族自治州门源回族自治县人民检察院	http://weibo.com/menyuanjiancha	9	3455	298
青海省	黄南藏族自治州		黄南政务	青海省黄南州人民政府办公室官方微博	http://weibo.com/qhhnz	4	49	13
青海省	黄南藏族自治州	同仁县	和谐同仁	青海省黄南州同仁县政府办公室官方微博	http://weibo.com/u/5552721790	0	3	0
青海省	黄南藏族自治州	尖扎县	尖扎县法院	青海省尖扎县人民法院官方微博	http://weibo.com/u/5057499620	11	312	1057
青海省	黄南藏族自治州	泽库县	团泽库县委	黄南生活	http://weibo.com/u/2533760730	5	236	89
青海省	黄南藏族自治州	河南蒙古族自治县	河南县法院	青海省黄南州河南蒙古族自治县人民法院官方微博	http://weibo.com/hnfy20131212	22	4432	3808
青海省	海南藏族自治州		海南州法院	青海省海南藏族自治州中级人民法院官方微博	http://weibo.com/qhhnzy	13	2204	7614
青海省	海南藏族自治州	共和县	共和政务	青海省海南州共和县人民政府官方微博	http://weibo.com/gonghezhengwu	9	50	109
青海省	海南藏族自治州	同德县	青海同德共青团	青海省海南藏族自治州同德县团委官方微博	http://weibo.com/u/2528029340	5	138	73
青海省	海南藏族自治州	贵德县	贵德法院	青海省海南藏族自治州贵德县人民法院官方微博	http://weibo.com/u/2834939340	10	365	3065
青海省	海南藏族自治州	兴海县	兴海县法院	青海省海南兴海县法院官方微博	http://weibo.com/u/3953482093	2	57	38
青海省	海南藏族自治州	贵南县	贵南新青年	共青团贵南县委官方微博	http://weibo.com/u/5577074321	0	1	0
青海省	果洛藏族自治州		果洛共青团0975	共青团果洛藏族自治州委员会官方微博	http://weibo.com/gqtglzwyh	17	34273	355
青海省	果洛藏族自治州	玛沁县	玛沁法院	青海省果洛玛沁县人民法院官方微博	http://weibo.com/glmqfy	10	1461	882
青海省	果洛藏族自治州	班玛县	班玛县政府	青海省班玛县人民政府官方微博	http://weibo.com/u/5341743879	1	9	7
青海省	果洛藏族自治州	甘德县	青春甘德	共青团果洛藏族自治州甘德县委员会官方微博	http://weibo.com/u/3549911781	7	89	99
青海省	果洛藏族自治州	达日县	青春达日	青海省果洛达日县团委官方微博	http://weibo.com/GQTDRXW	14	14119	203
青海省	果洛藏族自治州	久治县	久治检察	青海省果洛州久治县人民检察院官方微博	http://weibo.com/u/5181550845	6	368	227
青海省	果洛藏族自治州	玛多县	天上玛多	青海省果洛藏族自治州玛多县旅游局官方微博	http://weibo.com/maduotravel	5	110	37
青海省	玉树藏族自治州		新-玉-树	玉树州委宣传部官方微博	http://weibo.com/warmyushu	22	289677	4866
青海省	玉树藏族自治州	杂多县	玉树州杂多县法院	青海省玉树州杂多县人民法院官方微博	http://weibo.com/u/3964051513	9	13078	521
青海省	玉树藏族自治州	称多县	青海称多县法院	青海省称多县人民法院官方微博	http://weibo.com/u/3960722533	9	103	191
青海省	玉树藏族自治州	治多县	青海省治多县法院	青海省玉树州治多县人民法院官方微博	http://weibo.com/qhzdfy	1	23	1
青海省	玉树藏族自治州	囊谦县	囊谦POLICE	青海玉树囊谦县公安局官方微博	http://weibo.com/u/5260540261	3	16	2
青海省	玉树藏族自治州	曲麻莱县	玉树曲麻莱县法院	青海曲麻莱县法院官方微博	http://weibo.com/u/5350851054	4	332	34
青海省	海西蒙古族藏族自治州		中国柴达木	青海省海西蒙古族藏族自治州人民政府官方微博	http://weibo.com/haixigov	8	27889	1379
青海省	海西蒙古族藏族自治州	德令哈县	德令哈宣传	中共德令哈市委宣传部官方微博	http://weibo.com/u/5497975161	1	4	1
青海省	海西蒙古族藏族自治州	格尔木市	青海格尔木市共青团	共青团格尔木市委官方微博	http://weibo.com/u/2498605240	11	1081	1125
青海省	海西蒙古族藏族自治州	天峻县	天峻法院	青海省天峻县人民法院官方微博	http://weibo.com/u/3932096618	9	2366	1091
青海省	海西蒙古族藏族自治州	都兰县	都兰县法院	青海省海西都兰县法院官方微博	http://weibo.com/u/3662854281	14	352	2609
广东	广州		中国广州发布	广州市互联网信息办公室官方微博	http://weibo.com/guangzhoufabu	30	4239766	32106
广东	广州	越秀区	广州越秀发布	广州市越秀区新闻信息中心官方微博	http://weibo.com/u/3185467635	27	10408	8385
广东	广州	荔湾区	广州荔湾发布	广州市荔湾区新闻信息中心官方微博	http://weibo.com/u/3186551393	26	116965	8802
广东	广州	天河区	广州天河发布	广州市天河区有线电视中心官方微博	http://weibo.com/gztianhefb	27	16083	9576
广东	广州	黄埔区	广州黄埔发布	广州市黄埔区政府新闻办公室官方微博	http://weibo.com/u/3186551397	21	4303	1906
广东	广州	增城区	广州增城发布	广州增城市人民政府新闻办公室官方微博	http://weibo.com/u/3034420401	27	30676	11560
广东	广州	海珠区	广州海珠发布	广州市海珠区新闻中心官方微博	http://weibo.com/gzhaizhufabu	26	146448	6505
广东	广州	番禺区	广州番禺发布	广州市番禺区政府新闻办公室官方微博	http://weibo.com/panyufabu	28	32694	11455
广东	广州	花都区	广州花都发布	广州市花都区政府新闻办公室官方微博	http://weibo.com/u/3186551403	27	59061	5976
广东	广州	白云区	广州白云发布	中共广州市白云区委宣传部官方微博	http://weibo.com/u/3185467691	23	3126	4272
广东	广州	从化区	广州从化发布	广州市从化新闻网络管理中心官方微博	http://weibo.com/u/3186551413	26	47394	4187
广东	广州	南沙区	广州南沙发布	广州市南沙区新闻中心官方微博	http://weibo.com/gznanshafabu	23	12493	3009
广东	深圳		深圳微博发布厅	深圳市互联网信息办公室官方微博	http://weibo.com/shenzhenfabu	30	1685908	41729
广东	深圳	罗湖区	深圳罗湖区法院	深圳市罗湖区人民法院官方微博	http://weibo.com/luohufayuan	23	12174	6546
广东	深圳	福田区	福田发布	深圳市福田区人民政府官方微博	http://weibo.com/u/2858056932	24	33563	7925
广东	深圳	宝安区	深圳宝安区人民检察院	广东省深圳市宝安区委宣传部官方微博	http://weibo.com/bajcy	24	85638	2558
广东	深圳	龙华新区	龙华新区管委会	深圳市龙华新区管委会官方微博	http://weibo.com/u/2867284742	23	19429	3637
